2010-12-28 03:17:28 Notice: Notice (8): Undefined property: Link::$Permissions in [/Users/finngrimwood/Sites/MB/app/controllers/links_controller.php, line 31]
2010-12-28 03:26:26 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 69]
2010-12-28 03:26:26 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 70]
2010-12-28 03:26:27 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 71]
2010-12-28 03:26:27 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 72]
2010-12-28 03:26:27 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 73]
2010-12-28 03:26:27 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 74]
2010-12-28 03:26:27 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 76]
2010-12-28 03:26:27 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 77]
2010-12-28 03:26:27 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 78]
2010-12-28 03:26:31 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 69]
2010-12-28 03:26:31 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 70]
2010-12-28 03:26:31 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 71]
2010-12-28 03:26:31 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 72]
2010-12-28 03:26:31 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 73]
2010-12-28 03:26:31 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 74]
2010-12-28 03:26:31 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 76]
2010-12-28 03:26:31 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 77]
2010-12-28 03:26:31 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 78]
2010-12-28 03:27:19 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 71]
2010-12-28 03:27:19 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 72]
2010-12-28 03:27:19 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 73]
2010-12-28 03:27:19 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 74]
2010-12-28 03:27:19 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 75]
2010-12-28 03:27:19 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 76]
2010-12-28 03:27:19 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 78]
2010-12-28 03:27:19 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 79]
2010-12-28 03:27:19 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 80]
2010-12-28 03:27:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 71]
2010-12-28 03:27:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 72]
2010-12-28 03:27:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 73]
2010-12-28 03:27:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 74]
2010-12-28 03:27:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 75]
2010-12-28 03:27:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 76]
2010-12-28 03:27:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 78]
2010-12-28 03:27:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 79]
2010-12-28 03:27:29 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 80]
2010-12-28 03:29:40 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 71]
2010-12-28 03:29:40 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 72]
2010-12-28 03:29:40 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 73]
2010-12-28 03:29:40 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 74]
2010-12-28 03:29:40 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 75]
2010-12-28 03:29:40 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 76]
2010-12-28 03:29:40 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 78]
2010-12-28 03:29:40 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 79]
2010-12-28 03:29:40 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 80]
2010-12-28 03:29:48 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 71]
2010-12-28 03:29:48 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 72]
2010-12-28 03:29:48 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 73]
2010-12-28 03:29:48 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 74]
2010-12-28 03:29:48 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 75]
2010-12-28 03:29:48 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 76]
2010-12-28 03:29:48 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 78]
2010-12-28 03:29:48 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 79]
2010-12-28 03:29:48 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 80]
2010-12-28 03:29:51 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 71]
2010-12-28 03:29:51 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 72]
2010-12-28 03:29:51 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 73]
2010-12-28 03:29:51 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 74]
2010-12-28 03:29:51 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 75]
2010-12-28 03:29:51 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 76]
2010-12-28 03:29:51 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 78]
2010-12-28 03:29:51 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 79]
2010-12-28 03:29:51 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 80]
2010-12-28 03:39:22 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 71]
2010-12-28 03:39:22 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 72]
2010-12-28 03:39:22 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 73]
2010-12-28 03:39:22 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 74]
2010-12-28 03:39:22 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 75]
2010-12-28 03:39:22 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 76]
2010-12-28 03:39:22 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 78]
2010-12-28 03:39:22 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 79]
2010-12-28 03:39:22 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 80]
2010-12-28 03:58:53 Notice: Notice (8): Undefined variable: user in [/Users/finngrimwood/Sites/MB/app/views/helpers/permissions.php, line 7]
2010-12-28 13:00:33 Notice: Notice (8): Undefined index: Permission in [/Users/finngrimwood/Sites/MB/app/views/helpers/permissions.php, line 7]
2010-12-28 13:01:56 Notice: Notice (8): Undefined index: Permission in [/Users/finngrimwood/Sites/MB/app/views/helpers/permissions.php, line 7]
2010-12-28 13:09:40 Notice: Notice (8): Use of undefined constant i - assumed 'i' in [/Users/finngrimwood/Sites/MB/app/views/elements/menu.ctp, line 22]
2010-12-28 13:09:40 Notice: Notice (8): Use of undefined constant i - assumed 'i' in [/Users/finngrimwood/Sites/MB/app/views/elements/menu.ctp, line 23]
2010-12-28 13:10:11 Notice: Notice (8): Use of undefined constant i - assumed 'i' in [/Users/finngrimwood/Sites/MB/app/views/elements/menu.ctp, line 22]
2010-12-28 13:10:11 Notice: Notice (8): Use of undefined constant i - assumed 'i' in [/Users/finngrimwood/Sites/MB/app/views/elements/menu.ctp, line 23]
